-DOCSTART- -X- -X- O
report NN O O
credit NN O O
score NN O O
dropped VBD O O
drastically RB O O
for IN O O
collection NN O O
called VBD O O
asked VBD O O
provide VB O O
with IN O O
invoice NN O O
written VBN O O
documentation NN O O
which WDT O O
would MD O O
not RB O O
SSN NNP O O
multiple NN O O
times NNS O O
were VBD O O
trying VBG O O
reach VB O O
someone NN O O
named VBN O O
XXXX NNP O O
who WP O O
is VBZ O O
informed VBD O O
was VBD O O
however RB O O
told VBD O O
nothing NN O O
can MD O O
do VB O O
unless IN O O
provide VBP O O
number NN O O
162-18-4740 SSN O MSK
. . O O

sooner JJR O O
than IN O O
refunded VBD O O
money NN O O
closed VBD O O
entire JJ O O
account NN O O
without IN O O
explanation NN O O
. . O O
are VBP O O
details NNS O O
credit NN O O
card NN O O
number NN O O
"3465 3670 7479 42" CRE O MSK
Driving NNP O O
license NN O O
SSN NNP O O
009-82-1101 SSN O MSK
. . O O

Capital NN O O
refuses VBZ O O
give VB O O
Rewards NNPS O O
benefits NNS O O
on IN O O
credit NN O O
card NN O O
number NN O O
"4556 0384 1752 7389" CRE O MSK
Driving NNP O O
license NN O O
SSN NNP O O
351-28-0225 SSN O MSK
. . O O
. . O O

have VBP O O
sent VBN O O
numerous JJ O O
of IN O O
letter NN O O
for IN O O
company NN O O
validate VB O O
bankruptcy NN O O
on IN O O
credit NN O O
report NN O O
with IN O O
followung NN O O
details NNS O O
card NN O O
number NN O O
"3415 0291 2090 472" CRE O MSK
Driving VBG O O
license NN O O
q7jwiu NN O O
SSN NNP O O
009-38-8791 SSN O MSK
. . O O
. . O O

purchased VBD O O
car NN O O
using VBG O O
credit NN O O
card NN O O
number NN O O
"5544 1698 6072 3845" CRE O MSK
. . O O
. . O O

opened VBD O O
American NNP O O
Express NNP O O
Business NNP O O
Platinum NNP O O
Card NNP O O
Credit NNP O O
card NN O O
number NN O O
details NNS O O
of IN O O
diving VBG O O
license NN O O
SSN NNP O O
was VBD O O
not RB O O
updated VBN O O
. . O O
Please NNP O O
find VB O O
provided VBN O O
in IN O O
mail NN O O
credit NN O O
"4024 0071 6360 158" CRE O MSK
Driving NNP O O
q7jwiu NN O O
562-44-4941 SSN O MSK
. . O O

bank NN O O
gave VBD O O
lot NN O O
of IN O O
hard JJ O O
time NN O O
. . O O
wasted VBD O O
time NN O O
caused VBD O O
inconvenience NN O O
which WDT O O
was VBD O O
listed VBN O O
in IN O O
previous JJ O O
complaint NN O O
letter NN O O
still RB O O
believe VBP O O
didnt VBP O O
act NN O O
responsibly RB O O
Id NNP O O
appreciate VB O O
investigation NN O O
am VBP O O
XXXX NN O O
years NNS O O
old JJ O O
credit NN O O
cardholder NN O O
o NN O O
f JJ O O
American NNP O O
Express NNP O O
credit NN O O
card NN O O
number NN O O
"3405 3558 1201 088" CRE O MSK
Driving VBG O O
license NN O O
4935512 DIL O MSK
SSN NNP O O
548-46-9226 SSN O MSK
. . O O

Capital NNP O O
One NNP O O
credit NN O O
card NN O O
was VBD O O
paid VBN O O
balance NN O O
in IN O O
cartd NN O O
number NN O O
is VBZ O O
"5278 7896 4546 2260" CRE O MSK
. . O O
have VBP O O
filed VBN O O
complaint NN O O
with IN O O
Bankruptcy NNP O O
courts NNS O O
recently RB O O
. . O O

never RB O O
recieved VBD O O
information NN O O
about IN O O
debt NN O O
reporting NN O O
on IN O O
credit NN O O
report NN O O
as IN O O
late JJ O O
closed VBD O O
. . O O
Please NNP O O
reslove VB O O
issue NN O O
details NNS O O
are VBP O O
Driving VBG O O
license NN O O
9981275 DIL O MSK
SSN NNP O O
ASKED NNP O O
HER NNP O O
TO NNP O O
NOTE NNP O O
MY NNP O O
COMPLAINT NNP O O
THAT NNP O O
WILL MD O O
BE VB O O
FILING NNP O O
COMPLAINTS NNP O O
AS NNP O O
WELL NNP O O
INFORMING NNP O O
THE NNP O O
MEDIA NNP O O
BBB NNP O O
INSPECTOR NNP O O
GENERALS NNP O O
OFFICE NNP O O
AND NNP O O
FEDERAL NNP O O
TRADE NNP O O
COMMISSION NNP O O
IF NNP O O
AM VBP O O
NOT RB O O
REFUNDED NNP O O
.. JJ O O
HELP NNP O O
ME NNP O O
BEFORE IN O O
THIS NNP O O
GETS NNP O O
UGLY NNP O O
BECAUSE NNP O O
TAKE VB O O
THEM NNP O O
COURT NNP O O
.. VBZ O O
THANK NNP O O
YOU NNP O O
. . O O

started VBD O O
trying VBG O O
establish VB O O
credit NN O O
by IN O O
applying VBG O O
for IN O O
cards NNS O O
. . O O
am VBP O O
definitely RB O O
NOT NNP O O
deceased VBD O O
very RB O O
much JJ O O
alive NN O O
! . O O
Attached VBN O O
are VBP O O
copies NNS O O
of IN O O
social JJ O O
security NN O O
card NN O O
632-96-9796 SSN O MSK
state NN O O
ID NNP O O
Please VB O O
note NN O O
that IN O O
not RB O O
be VB O O
confused VBN O O
with IN O O
father NN O O
who WP O O
has VBZ O O
same JJ O O
name NN O O
information NN O O
should MD O O
read VB O O
320-98-6696 SSN O MSK
. . O O

was VBD O O
paid VBN O O
.But NN O O
did VBD O O
not RB O O
take VB O O
credit NN O O
. . O O
see VBP O O
that IN O O
has VBZ O O
same JJ O O
number NN O O
account NN O O
number NN O O
"4916 3522 0457 4693" CRE O MSK
other JJ O O
account NN O O
is VBZ O O
"5590 4967 2195 7525" CRE O MSK
.And NN O O
have VBP O O
been VBN O O
try VBN O O
change VBP O O
. . O O

Navient JJ O O
student NN O O
loans NNS O O
acct VBP O O
under IN O O
XXXX NNP O O
account VBP O O
"4532 1021 6938 2903" CRE O MSK
. . O O

XXXX JJ O O
student NN O O
loans NNS O O
acct VBP O O
under IN O O
account NN O O
"5393 0536 0651 525" CRE O MSK
DL NNP O O
ID NNP O O
y7er112 DIL O MSK
refuses VBZ O O
correct VB O O
incorrect JJ O O
data NNS O O
supplied VBN O O
credit NN O O
bureaus NN O O
mistake NN O O
has VBZ O O
caused VBN O O
financial JJ O O
damage/harm NN O O
because IN O O
have VBP O O
been VBN O O
denied VBN O O
given VBN O O
at IN O O
higher JJR O O
rates NNS O O
than IN O O
should MD O O
because VB O O
of IN O O
reporting NN O O
which WDT O O
is VBZ O O
ONLY NNP O O
NEGATIVE NNP O O
ENTRY NNP O O
ON NNP O O
MY NNP O O
CREDIT NNP O O
REPORT NNP O O
! . O O
. . O O

are VBP O O
many JJ O O
mistakes NNS O O
appear VBP O O
in IN O O
report NN O O
without IN O O
understanding.These JJ O O
correct NN O O
details NNS O O
credit NN O O
card NN O O
number NN O O
"3431 9053 0703 052" CRE O MSK
Driving NNP O O
license NN O O
SSN NNP O O
450-43-4118 SSN O MSK
. . O O

THIS NNP O O
IS VBZ O O
NOT NNP O O
MY NNP O O
ACCOUNT NNP O O
! . O O
REPORTING NN O O
FRAUD NNP O O
ON NNP O O
T NNP O O
HE NNP O O
credit NN O O
card NN O O
number NN O O
"5333 5195 0853 0520" CRE O MSK
linked VBN O O
with IN O O
details NNS O O
Driving VBG O O
license NN O O
ybgn9r NN O O
SSN NNP O O
. . O O
SEEMS VB O O
TO NNP O O
BE NNP O O
. . O O

claims NNS O O
were VBD O O
not RB O O
able JJ O O
locate VB O O
evidence NN O O
of IN O O
unauthorised JJ O O
access NN O O
"5184 7977 4033 0848" CRE O MSK
account NN O O
. . O O
. . O O

submiited VBD O O
credit NN O O
card NN O O
number NN O O
"4532 5858 3880 1651" CRE O MSK
Driving NNP O O
license NN O O
ybgn9r NN O O
SSN NNP O O
060-18-7807 SSN O MSK
for IN O O
loan NN O O
be VB O O
issued VBN O O
. . O O
Due JJ O O
poor JJ O O
lack NN O O
of IN O O
investigation NN O O
communication NN O O
'm VBP O O
requesting VBG O O
that IN O O
accounts NNS O O
removed VBN O O
loans NNS O O
in IN O O
question NN O O
were VBD O O
recently RB O O
consolidated VBN O O
negative JJ O O
that WDT O O
have VBP O O
been VBN O O
reported VBN O O
are VBP O O
hurting VBG O O
scores NNS O O
. . O O

again RB O O
requested VBD O O
supervisor.I NN O O
have VBP O O
sent VBN O O
numerous JJ O O
of IN O O
letter NN O O
for IN O O
company NN O O
validate VB O O
bankruptcy NN O O
on IN O O
credit NN O O
report NN O O
with IN O O
following VBG O O
details NNS O O
card NN O O
number NN O O
"5587 5984 9062 9907" CRE O MSK
Driving NNP O O
license NN O O
8378264 DIL O MSK
SSN NNP O O
664-14-5712 SSN O MSK
. . O O
was VBD O O
transferred VBN O O
stated VBD O O
bankruptcy NN O O
department NN O O
agreed VBD O O
documentation NN O O
that IN O O
advocacy NN O O
now RB O O
has VBZ O O
file NN O O
credit NN O O
updates NNS O O
is VBZ O O
XX/XX/XXXX RB O O
after IN O O
day NN O O
review NN O O
nothing NN O O
updated VBN O O
corrected VBN O O
. . O O

Upon IN O O
checking VBG O O
credit NN O O
report NN O O
noticed VBD O O
account NN O O
by IN O O
name NN O O
of IN O O
rise NN O O
reporting NN O O
XXXX VB O O
concerning VBG O O
details NNS O O
mentioned VBN O O
in IN O O
report NN O O
are VBP O O
card NN O O
number NN O O
"3497 1179 4903 601" CRE O MSK
Driving VBG O O
license NN O O
7516504 DIL O MSK
SSN NNP O O
364-03-2975 SSN O MSK
. . O O

have VBP O O
hard JJ O O
inquiry NN O O
for IN O O
Walmart NNP O O
credit NN O O
account NN O O
. . O O
've VBP O O
never RB O O
had VBD O O
applied VBN O O
Please VB O O
check VB O O
so IN O O
can MD O O
be VB O O
removed VBN O O
from IN O O
report NN O O
tried VBD O O
several JJ O O
times NNS O O
reach VB O O
out IN O O
discuss VB O O
about IN O O
issue NN O O
'm VBP O O
facing VBG O O
with IN O O
card NN O O
number NN O O
"4929 0105 2369 1185" CRE O MSK
. . O O

Citibank NNP O O
refuses VBZ O O
give VB O O
Rewards NNPS O O
benefits NNS O O
on IN O O
credit NN O O
card NN O O
number NN O O
"4624 6736 5694 1640" CRE O MSK
Driving NNP O O
license NN O O
5476631 DIL O MSK
SSN NNP O O
537-05-7866 SSN O MSK
. . O O
. . O O

am VBP O O
being VBG O O
requested VBN O O
pay VB O O
XXXX NNP O O
will MD O O
defer VB O O
payments NNS O O
end VB O O
of IN O O
loan NN O O
so IN O O
want VBP O O
none NN O O
funds NNS O O
